2016-05-10 11:29:15 status unpacked libmro-compat-perl:all 0.12-1
2016-05-10 11:29:16 install libsub-exporter-perl:all <none> 0.986-1
2016-05-10 11:29:16 status half-installed libsub-exporter-perl:all 0.986-1
2016-05-10 11:29:16 status unpacked libsub-exporter-perl:all 0.986-1
2016-05-10 11:29:16 status unpacked libsub-exporter-perl:all 0.986-1
2016-05-10 11:29:16 install libdata-section-perl:all <none> 0.200006-1
2016-05-10 11:29:16 status half-installed libdata-section-perl:all 0.200006-1
2016-05-10 11:29:16 status unpacked libdata-section-perl:all 0.200006-1
2016-05-10 11:29:16 status unpacked libdata-section-perl:all 0.200006-1
2016-05-10 11:29:16 install libhtml-template-perl:all <none> 2.95-1
2016-05-10 11:29:16 status half-installed libhtml-template-perl:all 2.95-1
2016-05-10 11:29:16 status unpacked libhtml-template-perl:all 2.95-1
2016-05-10 11:29:16 status unpacked libhtml-template-perl:all 2.95-1
2016-05-10 11:29:16 install liblog-message-perl:all <none> 0.8-1
2016-05-10 11:29:16 status half-installed liblog-message-perl:all 0.8-1
2016-05-10 11:29:16 status unpacked liblog-message-perl:all 0.8-1
2016-05-10 11:29:16 status unpacked liblog-message-perl:all 0.8-1
2016-05-10 11:29:16 install liblog-message-simple-perl:all <none> 0.10-2
2016-05-10 11:29:16 status half-installed liblog-message-simple-perl:all 0.10-2
2016-05-10 11:29:16 status unpacked liblog-message-simple-perl:all 0.10-2
2016-05-10 11:29:16 status unpacked liblog-message-simple-perl:all 0.10-2
2016-05-10 11:29:16 install libmodule-build-perl:all <none> 0.421000-2
2016-05-10 11:29:16 status half-installed libmodule-build-perl:all 0.421000-2
2016-05-10 11:29:17 status unpacked libmodule-build-perl:all 0.421000-2
2016-05-10 11:29:17 status unpacked libmodule-build-perl:all 0.421000-2
2016-05-10 11:29:17 install libmodule-pluggable-perl:all <none> 5.1-1
2016-05-10 11:29:17 status half-installed libmodule-pluggable-perl:all 5.1-1
2016-05-10 11:29:17 status unpacked libmodule-pluggable-perl:all 5.1-1
2016-05-10 11:29:17 status unpacked libmodule-pluggable-perl:all 5.1-1
2016-05-10 11:29:17 install libmodule-signature-perl:all <none> 0.73-1+deb8u2
2016-05-10 11:29:17 status half-installed libmodule-signature-perl:all 0.73-1+deb8u2
2016-05-10 11:29:17 status unpacked libmodule-signature-perl:all 0.73-1+deb8u2
2016-05-10 11:29:17 status unpacked libmodule-signature-perl:all 0.73-1+deb8u2
2016-05-10 11:29:17 install libpackage-constants-perl:all <none> 0.04-1
2016-05-10 11:29:17 status half-installed libpackage-constants-perl:all 0.04-1
2016-05-10 11:29:17 status unpacked libpackage-constants-perl:all 0.04-1
